school,test_optional,number_of_applicants,accept_rate,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
University of Connecticut,True,34886,0.488,1210.0,1420.0,26.0,31.0
Santa Clara University,True,16300,0.488,1280.0,1440.0,28.0,32.0
Southwestern University,True,4766,0.49,1140.0,1320.0,23.0,29.0
Pennsylvania State University—​University Park,True,71903,0.491,1160.0,1370.0,25.0,30.0
Marist College,True,11260,0.49200000000000005,1210.0,1360.0,26.0,31.0
The College of New Jersey,True,13824,0.493,1160.0,1360.0,25.0,30.0
Worcester Polytechnic Institute,True,10645,0.494,1310.0,1470.0,29.0,33.0
Syracuse University,True,34981,0.499,1180.0,1370.0,25.0,30.0
University of La Verne,True,7276,0.509,1020.0,1205.0,20.0,26.0
Clemson University,True,29070,0.513,1230.0,1400.0,27.0,32.0
Austin College,True,4360,0.513,1110.0,1290.0,24.0,29.0
University of California—​Santa Cruz,True,55906,0.515,1200.0,1360.0,24.0,30.0
University of Washington--Seattle,True,45579,0.518,1240.0,1440.0,27.0,33.0
California State University--Fullerton,True,50105,0.527,1030.0,1200.0,19.0,24.0
University of Wisconsin—​Madison,True,43921,0.53,1330.0,1450.0,27.0,32.0
Colorado School of Mines,True,11756,0.531,1260.0,1460.0,27.0,33.0
Chapman University,True,14198,0.536,1190.0,1370.0,25.0,30.0
Ohio State University—​Columbus,True,47703,0.537,1250.0,1460.0,28.0,32.0
Texas Lutheran University,True,2198,0.5429999999999999,990.0,1160.0,19.0,25.0
University at Albany—​SUNY,True,27529,0.5429999999999999,1090.0,1250.0,22.0,28.0
Georgia Southern,True,13858,0.545,1050.0,1200.0,20.0,25.0
College of Wooster,True,6352,0.547,1150.0,1380.0,24.0,31.0
San Jose State University,True,36243,0.547,1040.0,1260.0,19.0,26.0
California State Polytechnic University--Pomona,True,36660,0.555,1030.0,1250.0,19.0,27.0
Whitman College,True,4832,0.5579999999999999,1240.0,1450.0,28.0,33.0
Sarah Lawrence College,True,3325,0.5579999999999999,1240.0,1420.0,27.0,32.0
New School,True,9911,0.5660000000000001,1150.0,1360.0,24.0,30.0
University of Pittsburgh,True,32091,0.5670000000000001,1260.0,1440.0,28.0,33.0
University of California Riverside,True,49788,0.5670000000000001,1130.0,1340.0,24.0,30.0
University of Minnesota—​Twin Cities,True,40673,0.5670000000000001,1260.0,1480.0,26.0,31.0
Hobart and William Smith Colleges,True,4526,0.569,1203.0,1360.0,27.0,30.0
Abilene Christian University,True,11569,0.57,1040.0,1230.0,21.0,27.0
Bennington College,True,1494,0.57,1230.0,1390.0,28.0,32.0
Birmingham-​Southern College,True,3628,0.57,1040.0,1250.0,22.0,28.0
Fairfield University,True,12315,0.5710000000000001,1210.0,1350.0,26.0,30.0
Georgia State,True,19838,0.574,990.0,1190.0,21.0,26.0
Texas A&M University—​College Station,True,42899,0.575,1160.0,1390.0,26.0,31.0
Saint Louis University,True,15120,0.575,1180.0,1370.0,25.0,31.0
St. John's College Annapolis,True,913,0.5760000000000001,1210.0,1450.0,24.0,33.0
Lake Forest College,True,4147,0.579,1110.0,1310.0,23.0,29.0
Kennesaw State University,True,13427,0.579,1080.0,1270.0,21.0,26.0
California State University--Fresno,True,18122,0.579,950.0,1130.0,16.0,22.0
Rollins College,True,6167,0.583,1160.0,1340.0,24.0,30.0
University of Hawaii at Manoa,True,16244,0.584,1070.0,1270.0,21.0,26.0
University of Denver,True,21028,0.5870000000000001,1170.0,1350.0,26.0,31.0
Hampden-​Sydney College,True,3240,0.59,1050.0,1250.0,21.0,27.0
University of Illinois—​Urbana-​Champaign,True,43509,0.59,1220.0,1480.0,27.0,33.0
Millsaps College,True,4161,0.593,1080.0,1260.0,22.0,28.0
California State University--Northridge,True,30637,0.593,910.0,1130.0,16.0,22.0
Clark University,True,7687,0.594,1200.0,1390.0,28.0,31.0
Lipscomb University,True,3638,0.595,1060.0,1320.0,22.0,29.0
Virginia Military Institute,True,1515,0.595,1090.0,1270.0,21.0,28.0
Purdue University—​West Lafayette,True,54912,0.598,1190.0,1440.0,25.0,32.0
Temple University,True,35599,0.6,1120.0,1320.0,24.0,30.0
Rutgers The State University of New Jersey—​New Brunswick,True,41348,0.601,1190.0,1410.0,25.0,31.0
Illinois Institute of Technology,True,5049,0.602,1190.0,1400.0,26.0,32.0
Yeshiva University,True,1508,0.603,1140.0,1400.0,22.0,30.0
Illinois Wesleyan University,True,3719,0.608,1120.0,1320.0,24.0,29.0
Furman University,True,5469,0.611,1230.0,1410.0,28.0,32.0
University at Buffalo—​SUNY,True,29900,0.611,1160.0,1340.0,24.0,29.0
Concordia College—​Moorhead,True,4160,0.612,1080.0,1368.0,21.0,27.0
SUNY College of Environmental Science and Forestry,True,2018,0.614,1120.0,1310.0,23.0,29.0
University of Portland,True,14505,0.615,1160.0,1330.0,23.0,29.0
Cornell College,True,3118,0.618,1100.0,1345.0,23.0,29.0
Muhlenberg College,True,4146,0.618,1170.0,1360.0,26.0,30.0
Gonzaga University,True,9279,0.619,1210.0,1358.0,25.0,30.0
Beloit College,True,3657,0.62,1080.0,1380.0,24.0,30.0
Lawrence University,True,3463,0.621,1200.0,1430.0,25.0,32.0
University of Utah,True,24404,0.621,1142.5,1380.0,22.0,29.0
Allegheny College,True,5208,0.622,1170.0,1360.0,24.0,30.0
University of Delaware,True,27691,0.624,1170.0,1350.0,25.0,30.0
Westmont College,True,2937,0.624,1110.0,1370.0,23.0,30.0
Luther College,True,4422,0.626,1050.0,1310.0,23.0,29.0
Rutgers The State University of New Jersey—​Newark,True,13259,0.627,1020.0,1190.0,19.0,24.0
Earlham College,True,2070,0.634,1100.0,1370.0,23.0,30.0
Augustana College,True,6211,0.636,1070.0,1280.0,22.0,29.0
Wofford College,True,3522,0.636,1180.0,1350.0,27.0,30.0
New Jersey Institute of Technology,True,8123,0.637,1190.0,1380.0,25.0,30.0
University of Massachusetts—​Amherst,True,42157,0.638,1190.0,1390.0,26.0,32.0
Wabash College,True,1307,0.642,1120.0,1320.0,23.0,29.0
DePauw University,True,4935,0.644,1130.0,1360.0,23.0,30.0
Drury University,True,1664,0.644,1045.0,1225.0,22.0,28.0
St. John Fisher College,True,4720,0.645,1070.0,1260.0,21.0,26.0
University of San Francisco,True,18411,0.6459999999999999,1130.0,1330.0,23.0,29.0
Bard College,True,5141,0.6459999999999999,1248.0,1420.0,27.0,31.0
Goshen College,True,1278,0.647,1010.0,1210.0,21.0,29.0
Agnes Scott College,True,1751,0.648,1130.0,1340.0,24.0,30.0
Virginia Polytechnic Institute and State University,True,31936,0.648,1180.0,1390.0,25.0,31.0
University of Houston,True,25393,0.65,1140.0,1310.0,22.0,27.0
University of North Carolina—​Charlotte,True,21867,0.65,1120.0,1290.0,22.0,26.0
Truman State University,True,4568,0.653,1080.0,1358.0,24.0,30.0
University of North Carolina—​Wilmington,True,13287,0.655,1170.0,1320.0,22.0,27.0
SUNY—​Geneseo,True,10433,0.655,1120.0,1310.0,23.0,28.0
Embry-​Riddle Aeronautical University,True,6017,0.655,1110.0,1320.0,22.0,29.0
University of the Pacific,True,13096,0.6559999999999999,1130.0,1360.0,23.0,31.0
Rochester Institute of Technology,True,18948,0.66,1200.0,1400.0,27.0,32.0
Berry College,True,3970,0.6609999999999999,1110.0,1310.0,23.0,29.0
Mississippi State University,True,18269,0.6629999999999999,1070.0,1280.0,22.0,30.0
Sewanee—​University of the South,True,3545,0.667,1150.0,1340.0,25.0,30.0
Hanover College,True,7795,0.669,1078.0,1300.0,22.0,28.0
Coe College,True,7795,0.669,1078.0,1300.0,22.0,28.0
Randolph-​Macon College,True,2907,0.6709999999999999,1020.0,1240.0,20.0,27.0
Loyola University Chicago,True,25583,0.672,1140.0,1320.0,25.0,30.0
University of Vermont,True,19233,0.6729999999999999,1180.0,1360.0,26.0,31.0
San Francisco State University,True,34629,0.6729999999999999,940.0,1150.0,17.0,23.0
Brigham Young University—​Provo,True,10500,0.675,1210.0,1420.0,26.0,31.0
Drake University,True,6944,0.6759999999999999,1100.0,1370.0,24.0,31.0
Stonehill College,True,6961,0.677,1120.0,1290.0,24.0,28.5
Elmhurst College,True,4175,0.6779999999999999,990.0,1210.0,20.0,26.0
Taylor University,True,2341,0.6809999999999999,1080.0,1310.0,22.0,28.0
DePaul University,True,26895,0.682,1070.0,1290.0,,
Knox College,True,3397,0.6829999999999999,1090.0,1350.0,24.0,31.0
Hofstra University,True,24425,0.685,1160.0,1340.0,25.0,30.0
Ithaca College,True,15278,0.685,1160.0,1338.0,25.0,30.0
California State University--San Bernardino,True,16307,0.6859999999999999,910.0,1090.0,15.0,19.0
University of South Carolina,True,31268,0.6859999999999999,1180.0,1370.0,25.0,31.0
Albion College,True,4043,0.688,990.0,1200.0,21.0,27.0
Presbyterian College (SC),True,2462,0.688,1010.0,1210.0,19.0,25.0
Texas Tech University,True,25384,0.6890000000000001,1070.0,1260.0,22.0,27.0
Ohio Wesleyan University,True,4705,0.69,1060.0,1295.0,22.0,28.0
Ripon College,True,2619,0.69,1000.0,1210.0,20.0,27.0
Drew University,True,3788,0.6920000000000001,1110.0,1310.0,25.0,30.0
Gustavus Adolphus College,True,4957,0.6920000000000001,,,25.0,30.0
Central Michigan,True,16411,0.695,990.0,1200.0,20.0,26.0
Oklahoma State University,True,15277,0.7,1040.0,1265.0,21.0,28.0
Bradley University,True,10708,0.7020000000000001,1070.0,1270.0,22.0,28.0
Seton Hall University,True,19260,0.7040000000000001,1150.0,1310.0,24.0,28.0
Biola University,True,4149,0.705,1080.0,1310.0,21.0,28.0
Ursinus College,True,3361,0.7090000000000001,1140.0,1320.0,23.0,28.0
Montclair State,True,14324,0.7090000000000001,990.0,1170.0,,
Clarkson University,True,6885,0.711,1160.0,1350.0,24.0,30.0
Michigan State University,True,44322,0.711,1100.0,1320.0,23.0,29.0
Hollins University,True,3244,0.7120000000000001,1070.0,1300.0,22.0,30.0
Creighton University,True,10112,0.7140000000000001,1150.0,1350.0,24.0,30.0
California Lutheran University,True,5752,0.715,1070.0,1250.0,21.0,26.0
University of Mary Washington,True,5909,0.718,1050.0,1269.0,22.0,29.0
Christopher Newport University,True,7204,0.7190000000000001,1110.0,1280.0,22.0,27.0
University of California—Merced,True,25368,0.72,980.0,1180.0,17.0,22.0
Mercer University,True,5454,0.72,1180.0,1340.0,25.0,30.0
University of Dayton,True,17462,0.72,1120.0,1320.0,23.0,29.0
Lewis & Clark College,True,5863,0.722,1220.0,1400.0,27.0,31.0
Hendrix College,True,1545,0.722,1153.0,1390.0,26.0,32.0
University of Rhode Island,True,21259,0.723,1012.0,1345.0,20.0,29.0
California State University--Chico,True,25908,0.723,990.0,1180.0,18.0,24.0
Stetson University,True,13005,0.7240000000000001,1110.0,1300.0,22.0,29.0
Quinnipiac University,True,22753,0.725,1090.0,1260.0,23.0,28.0
Duquesne University,True,7411,0.725,1130.0,1300.0,23.0,28.0
University of Illinois—​Chicago,True,22696,0.727,1030.0,1260.0,21.0,28.0
University of Akron,True,14553,0.73,990.0,1230.0,19.0,25.0
St. John's University (NY),True,27276,0.731,1070.0,1270.0,23.0,29.0
University of Cincinnati,True,23296,0.731,1160.0,1370.0,24.0,29.0
Simmons University,True,2933,0.731,1110.0,1290.0,23.0,29.0
Wayne State University,True,15716,0.731,1010.0,1230.0,21.0,27.0
Butler University,True,14891,0.732,1150.0,1330.0,24.0,30.0
Point Loma Nazarene University,True,3277,0.737,1140.0,1310.0,24.0,29.0
University of North Texas,True,21540,0.737,1060.0,1250.0,20.0,26.0
University of North Georgia,True,6498,0.737,1108.0,1273.0,22.0,27.0
Xavier University,True,15100,0.738,1070.0,1250.0,22.0,28.0
Wheaton College (MA),True,3460,0.7390000000000001,1150.0,1340.0,27.0,32.0
Eastern Michigan,True,14323,0.741,970.0,1190.0,19.0,25.0
University of Washington--Bothell,True,4242,0.741,1038.0,1250.0,19.0,28.0
Adelphi University,True,13006,0.742,1080.0,1270.0,22.0,27.0
Baldwin Wallace University,True,3926,0.742,1030.0,1250.0,21.0,27.0
Michigan Technological University,True,5978,0.743,1170.0,1370.0,25.0,30.0
